star_id,mission,label,orbital_period,transit_duration,transit_depth,planet_radius,impact_parameter,transit_snr,mes,stellar_teff,stellar_logg,stellar_radius,mag
11811193,Kepler,CONFIRMED,6.11784972,3.458,60.5,1.05,0.391,,,6226.0,4.247,1.333,12.168
3734418,Kepler,CONFIRMED,3.97599629,2.2029,206.0,1.11,0.331,,,5143.0,4.561,0.778,14.11
8681734,Kepler,CONFIRMED,7.68478504,2.447,274.1,1.47,0.045,,,5344.0,4.469,0.907,14.776
10232693,Kepler,FALSE_POSITIVE,0.990516282,2.019,101.6,3.52,0.989,,,5975.0,3.755,2.399,13.405
10212441,Kepler,CONFIRMED,15.0447098,5.823,97.9,1.51,0.022,,,5798.0,4.025,1.525,13.037
6119141,Kepler,CANDIDATE,29.0726293,2.516,439.6,2.32,0.682,,,5799.0,4.37,1.042,14.409
8247771,Kepler,CONFIRMED,1.118547814,1.5534,234.8,0.98,0.221,,,4496.0,4.65,0.658,15.793
8165946,Kepler,CONFIRMED,6.42199919,2.6192,161.6,1.25,0.281,,,5985.0,4.468,0.981,13.862
12017109,Kepler,CONFIRMED,9.75374033,2.348,430.8,1.87,0.295,,,5806.0,4.528,0.899,15.158
9225395,Kepler,CONFIRMED,81.3153052,5.807,715.5,2.55,0.013,,,5325.0,4.39,0.975,15.111
10709622,Kepler,CONFIRMED,51.3283527,9.357,692.3,3.06,0.582,,,6119.0,4.353,1.119,14.955
11499228,Kepler,CONFIRMED,19.7919389,3.787,383.7,2.58,0.954,,,6285.0,4.441,1.039,14.09
9022166,Kepler,CONFIRMED,26.8475962,10.068,254.1,3.2,0.457,,,5508.0,3.897,1.988,12.848
10965588,Kepler,CONFIRMED,62.8917493,6.831,791.0,2.5,0.632,,,5052.0,4.48,0.855,15.481
10670119,Kepler,CONFIRMED,14.87149773,2.4076,944.9,1.59,0.018,,,3825.0,4.749,0.524,15.673
4043443,Kepler,FALSE_POSITIVE,119.8401019,3.6796,5448.7,26.96,1.269,,,4602.0,4.637,0.675,14.945
8491277,Kepler,CONFIRMED,9.61375316,4.654,797.9,3.27,0.604,,,5997.0,4.364,1.11,14.283
8613535,Kepler,CONFIRMED,29.9685917,6.678,309.5,1.91,0.282,,,6249.0,4.428,1.076,14.456
12256520,Kepler,CONFIRMED,33.2407985,4.675,341.9,1.51,0.231,,,5382.0,4.571,0.827,14.477
3337432,Kepler,FALSE_POSITIVE,2.97600846,4.274,103.2,2.27,0.715,,,6208.0,3.898,2.088,13.4
5629538,Kepler,CONFIRMED,15.18727049,4.509,292.5,1.94,0.839,,,6136.0,4.414,1.005,14.724
8561231,Kepler,CONFIRMED,28.6853212,6.307,689.1,2.69,0.922,,,5726.0,4.559,0.838,15.658
8235924,Kepler,CONFIRMED,0.588001053,1.1451,297.4,0.99,0.403,,,3814.0,4.687,0.57,14.934
6941084,Kepler,CONFIRMED,85.7357202,7.625,747.7,2.94,0.033,,,6096.0,4.397,1.077,15.301
6200235,Kepler,CONFIRMED,1.078389713,1.3394,300.5,1.98,0.846,,,5325.0,4.384,0.985,15.143
