star_id,mission,label,orbital_period,transit_duration,transit_depth,planet_radius,impact_parameter,transit_snr,mes,stellar_teff,stellar_logg,stellar_radius,mag
11754553,Kepler,CONFIRMED,16.38489988,3.0249,1127.1,2.0,0.001,,,4126.0,4.661,0.615,15.095
11812062,Kepler,CONFIRMED,3.728732147,2.683,5226.5,6.02,0.558,,,5497.0,4.577,0.809,15.523
11818800,Kepler,CANDIDATE,40.4195037,3.362,6256.0,7.51,0.911,,,5446.0,4.507,0.781,15.487
11853255,Kepler,CONFIRMED,2.243380573,1.1196,821.7,1.99,0.915,,,4149.0,4.698,0.564,15.135
11909839,Kepler,FALSE_POSITIVE,10.405998015,6.5036,14489.0,11.23,0.324,,,5746.0,4.393,0.924,15.562
11918099,Kepler,CONFIRMED,2.337437946,1.9982,971.2,2.34,0.28,,,5005.0,4.595,0.765,15.334
11923270,Kepler,CONFIRMED,11.59822233,2.5237,2804.5,2.65,0.679,,,3688.0,4.79,0.473,15.937
11960862,Kepler,CONFIRMED,6.575315881,4.3084,2793.3,5.31,0.39,,,5992.0,4.415,0.989,15.312
12020329,Kepler,CONFIRMED,7.275040844,7.5377,3001.0,4.86,0.547,,,5485.0,4.556,0.867,15.08
12066335,Kepler,CONFIRMED,19.27153892,2.7594,1219.8,1.93,0.031,,,4077.0,4.702,0.56,15.385
12070811,Kepler,CONFIRMED,12.3935651,3.8896,916.6,2.66,0.883,,,5557.0,4.603,0.75,15.505
3120431,Kepler,FALSE_POSITIVE,3.341913228,3.813,725.3,21.55,1.213,,,5295.0,4.551,0.811,15.629
3246984,Kepler,FALSE_POSITIVE,1.626630225,2.1145,1620.6,32.43,1.26,,,5735.0,4.41,0.973,15.279
3342970,Kepler,CONFIRMED,2.711504086,3.0099,837.5,3.12,0.023,,,6214.0,4.442,1.076,15.541
12459725,Kepler,FALSE_POSITIVE,14.1798187,2.505,459.9,1.88,0.1601,,,5799.0,4.539,0.878,15.727
12470844,Kepler,CONFIRMED,8.47237911,2.7245,1123.5,2.59,0.022,,,5354.0,4.587,0.788,15.339
12644822,Kepler,CONFIRMED,12.611904345,5.1497,6105.6,7.4,0.55,,,5795.0,4.508,0.919,15.14
2440757,Kepler,FALSE_POSITIVE,1.433769925,1.8868,1976.3,46.58,1.268,,,6017.0,4.22,1.339,15.122
2445129,Kepler,FALSE_POSITIVE,10.31872301,3.836,871.7,28.59,1.215,,,5927.0,4.409,1.06,15.065
2713049,Kepler,CONFIRMED,2.539183147,2.4282,382.1,2.06,0.238,,,5519.0,4.35,1.062,15.026
3114167,Kepler,CONFIRMED,6.770300385,2.0844,1304.0,2.77,0.838,,,5653.0,4.656,0.679,15.591
3114661,Kepler,FALSE_POSITIVE,0.444291966,2.0792,10967.0,27.51,1.258,,,5255.0,4.678,0.636,15.748
3115833,Kepler,CANDIDATE,10.181584004,3.5089,5741.1,7.73,0.92,,,5988.0,4.541,0.836,15.657
