iter	Passed	Remaining
403	7683	20843
404	7701	20823
405	7720	20803
406	7742	20792
407	7762	20775
408	7781	20756
409	7800	20739
410	7821	20723
411	7840	20706
412	7858	20684
413	7876	20662
414	7895	20643
415	7915	20626
416	7934	20608
417	7953	20587
418	7974	20572
419	7992	20552
420	8011	20534
421	8029	20512
422	8049	20494
423	8067	20474
424	8085	20451
425	8102	20427
426	8119	20403
427	8136	20380
428	8155	20360
429	8173	20338
430	8190	20315
431	8209	20294
432	8225	20270
433	8243	20247
434	8260	20223
435	8277	20199
436	8295	20178
437	8313	20157
438	8331	20137
439	8349	20115
440	8367	20093
441	8386	20074
442	8406	20058
443	8423	20034
444	8442	20015
445	8459	19990
446	8476	19969
447	8494	19946
448	8511	19923
449	8532	19910
450	8550	19887
451	8568	19865
452	8585	19842
453	8602	19820
454	8620	19799
455	8639	19780
456	8658	19761
457	8677	19741
458	8695	19720
459	8712	19697
460	8730	19676
461	8749	19657
462	8766	19633
463	8784	19613
464	8803	19594
465	8822	19575
466	8842	19559
467	8861	19540
468	8879	19520
469	8899	19503
470	8918	19485
471	8936	19463
472	8954	19442
473	8973	19422
474	8991	19401
475	9010	19383
476	9027	19361
477	9045	19340
478	9065	19322
479	9083	19301
480	9101	19282
481	9120	19262
482	9138	19242
483	9156	19220
484	9174	19200
485	9196	19188
486	9215	19170
487	9234	19149
488	9253	19131
489	9273	19114
490	9291	19094
491	9309	19072
492	9327	19053
493	9346	19034
494	9365	19015
495	9384	18996
496	9401	18973
497	9420	18953
498	9439	18936
499	9460	18920
500	9478	18900
501	9499	18885
502	9519	18868
503	9539	18851
504	9561	18839
505	9580	18820
506	9598	18799
507	9615	18777
508	9634	18758
509	9653	18739
510	9671	18718
511	9689	18697
512	9706	18675
513	9724	18654
514	9743	18634
515	9761	18614
516	9779	18594
517	9800	18579
518	9818	18557
519	9836	18537
520	9854	18517
521	9873	18497
522	9891	18478
523	9909	18457
524	9926	18434
525	9945	18415
526	9963	18396
527	9982	18376
528	10000	18356
529	10017	18334
530	10035	18313
531	10053	18292
532	10071	18272
533	10089	18252
534	10108	18233
535	10126	18212
536	10144	18192
537	10162	18171
538	10179	18149
539	10197	18128
540	10216	18110
541	10234	18089
542	10252	18068
543	10270	18049
544	10287	18027
545	10304	18004
546	10323	17985
547	10343	17968
548	10360	17947
549	10379	17928
550	10397	17908
551	10414	17886
552	10433	17867
553	10451	17847
554	10469	17826
555	10488	17807
556	10506	17786
557	10523	17765
558	10540	17742
559	10557	17721
560	10574	17700
561	10593	17680
562	10610	17658
563	10627	17637
564	10644	17615
565	10661	17592
566	10678	17570
567	10695	17549
568	10712	17528
569	10731	17508
570	10747	17486
571	10765	17466
572	10782	17444
573	10803	17427
574	10823	17411
575	10840	17389
576	10856	17366
577	10871	17342
578	10887	17318
579	10903	17294
580	10920	17273
581	10937	17251
582	10954	17230
583	10972	17210
584	10990	17190
585	11007	17169
586	11025	17148
587	11043	17129
588	11061	17108
589	11080	17089
590	11099	17071
591	11118	17052
592	11135	17031
593	11151	17009
594	11169	16988
595	11187	16968
596	11204	16947
597	11223	16929
598	11241	16909
599	11259	16889
600	11277	16869
601	11294	16848
602	11314	16830
603	11332	16811
604	11352	16794
605	11373	16778
606	11391	16759
607	11409	16739
608	11427	16719
609	11445	16698
610	11462	16677
611	11479	16655
612	11496	16635
613	11514	16614
614	11531	16593
615	11548	16572
616	11565	16551
617	11583	16531
618	11600	16510
619	11617	16489
620	11634	16468
621	11652	16448
622	11670	16428
623	11688	16409
624	11708	16391
625	11726	16372
626	11745	16354
627	11764	16335
628	11785	16319
629	11804	16300
630	11821	16280
631	11839	16260
632	11859	16243
633	11876	16222
634	11894	16202
635	11911	16182
636	11930	16163
637	11948	16143
638	11966	16123
639	11985	16104
640	12002	16084
641	12021	16065
642	12038	16044
643	12056	16025
644	12073	16004
645	12091	15984
646	12109	15965
647	12127	15945
648	12144	15925
649	12163	15905
650	12181	15886
651	12200	15868
652	12219	15849
653	12237	15829
654	12256	15812
655	12273	15791
656	12292	15772
657	12310	15752
658	12328	15733
659	12347	15714
660	12364	15693
661	12383	15675
662	12402	15657
663	12421	15639
664	12438	15618
665	12458	15600
666	12475	15580
667	12494	15562
668	12512	15542
669	12529	15522
670	12547	15501
671	12565	15482
672	12583	15462
673	12600	15442
674	12618	15422
675	12637	15403
676	12654	15383
677	12673	15365
678	12690	15344
679	12708	15324
680	12727	15306
681	12745	15287
682	12763	15267
683	12782	15249
684	12803	15233
685	12823	15215
686	12841	15196
687	12861	15179
688	12881	15161
689	12899	15143
690	12917	15123
691	12937	15106
692	12957	15088
693	12975	15069
694	12994	15050
695	13012	15031
696	13030	15011
697	13046	14990
698	13066	14972
699	13083	14952
700	13102	14934
701	13120	14915
702	13139	14896
703	13161	14881
704	13180	14863
705	13199	14844
706	13218	14825
707	13236	14806
708	13254	14787
709	13272	14767
710	13290	14748
711	13309	14729
712	13329	14713
713	13349	14695
714	13367	14675
715	13385	14656
716	13404	14638
717	13425	14621
718	13445	14604
719	13465	14587
720	13485	14570
721	13506	14554
722	13528	14539
723	13551	14524
724	13575	14511
725	13595	14494
726	13614	14476
727	13634	14459
728	13655	14442
729	13673	14423
730	13697	14410
731	13721	14395
732	13741	14379
733	13774	14374
734	13801	14364
735	13823	14349
736	13842	14330
737	13861	14312
738	13877	14290
739	13898	14274
740	13917	14256
741	13936	14236
742	13955	14217
743	13978	14204
744	14004	14192
745	14030	14180
746	14053	14166
747	14077	14152
748	14098	14136
749	14119	14119
750	14139	14101
751	14162	14087
752	14184	14071
753	14203	14052
754	14223	14034
755	14245	14019
756	14263	13999
757	14281	13979
758	14297	13958
759	14314	13937
760	14330	13916
761	14346	13894
762	14364	13874
763	14380	13853
764	14398	13833
765	14417	13814
766	14437	13797
767	14457	13779
768	14478	13762
769	14497	13744
770	14517	13726
771	14536	13708
772	14555	13689
773	14575	13671
774	14602	13660
775	14627	13647
776	14649	13631
777	14669	13613
778	14690	13596
779	14711	13579
780	14730	13560
781	14750	13543
782	14768	13523
783	14784	13501
784	14800	13480
785	14817	13459
786	14833	13438
787	14849	13417
788	14870	13400
789	14889	13381
790	14905	13360
791	14925	13342
792	14948	13326
793	14973	13314
794	15000	13302
795	15022	13286
796	15041	13267
797	15059	13248
798	15081	13231
799	15102	13215
800	15124	13198
801	15148	13183
802	15166	13164
803	15185	13145
804	15203	13125
805	15225	13109
806	15243	13089
807	15261	13070
808	15279	13050
809	15297	13030
810	15313	13009
811	15330	12989
812	15346	12968
813	15362	12947
814	15379	12926
815	15395	12905
816	15412	12884
817	15429	12863
818	15445	12843
819	15462	12822
820	15478	12801
821	15496	12781
822	15514	12762
823	15534	12744
824	15552	12724
825	15570	12704
826	15588	12685
827	15605	12665
828	15621	12644
829	15639	12624
830	15657	12604
831	15673	12584
832	15690	12563
833	15706	12542
834	15723	12521
835	15740	12501
836	15759	12483
837	15777	12463
838	15795	12444
839	15813	12424
840	15830	12404
841	15847	12384
842	15867	12366
843	15884	12346
844	15902	12327
845	15920	12307
846	15939	12288
847	15955	12267
848	15973	12247
849	15990	12228
850	16007	12207
851	16024	12187
852	16041	12167
853	16061	12149
854	16079	12129
855	16096	12110
856	16113	12090
857	16130	12069
858	16147	12049
859	16164	12029
860	16182	12010
861	16202	11992
862	16220	11972
863	16238	11953
864	16255	11933
865	16273	11914
866	16290	11893
867	16308	11874
868	16325	11854
869	16342	11834
870	16360	11814
871	16377	11794
872	16394	11774
873	16411	11754
874	16427	11733
875	16443	11713
876	16460	11693
877	16477	11673
878	16494	11653
879	16513	11634
880	16531	11615
881	16551	11597
882	16569	11578
883	16586	11557
884	16602	11537
885	16618	11517
886	16635	11496
887	16651	11476
888	16668	11455
889	16685	11436
890	16701	11415
891	16717	11394
892	16734	11374
893	16750	11354
894	16767	11334
895	16785	11314
896	16801	11294
897	16817	11273
898	16833	11253
899	16849	11232
900	16865	11212
901	16881	11191
902	16897	11171
903	16912	11150
904	16929	11130
905	16945	11110
906	16963	11090
907	16979	11070
908	16996	11050
909	17012	11030
910	17029	11010
911	17045	10990
912	17062	10969
913	17079	10950
914	17096	10930
915	17114	10911
916	17130	10890
917	17149	10872
918	17171	10855
919	17191	10837
920	17213	10821
921	17235	10804
922	17254	10786
923	17274	10768
924	17291	10748
925	17310	10730
926	17332	10713
927	17348	10693
928	17366	10674
929	17382	10653
930	17399	10634
931	17415	10613
932	17431	10593
933	17449	10574
934	17466	10554
935	17485	10535
936	17505	10518
937	17528	10502
938	17550	10485
939	17574	10469
940	17595	10452
941	17616	10435
942	17636	10417
943	17656	10399
944	17678	10382
945	17700	10365
946	17721	10348
947	17739	10329
948	17761	10312
949	17783	10295
950	17805	10278
951	17826	10261
952	17847	10243
953	17868	10226
954	17892	10210
955	17912	10193
956	17934	10175
957	17954	10157
958	17973	10139
959	17993	10121
960	18012	10102
961	18032	10084
962	18052	10066
963	18072	10048
964	18092	10030
965	18112	10012
966	18133	9995
967	18152	9976
968	18173	9958
969	18196	9942
970	18219	9925
971	18238	9907
972	18256	9887
973	18276	9870
974	18297	9852
975	18319	9835
976	18347	9821
977	18371	9805
978	18401	9792
979	18422	9775
980	18445	9758
981	18465	9740
982	18485	9722
983	18505	9704
984	18525	9685
985	18546	9668
986	18568	9651
987	18590	9633
988	18610	9615
989	18630	9597
990	18650	9579
991	18671	9561
992	18690	9542
993	18710	9524
994	18733	9508
995	18754	9490
996	18774	9471
997	18793	9453
998	18815	9436
999	18839	9419
1000	18858	9401
1001	18879	9383
1002	18899	9364
1003	18919	9346
1004	18941	9329
1005	18961	9311
1006	18983	9293
1007	19003	9275
1008	19023	9257
1009	19043	9238
1010	19062	9219
1011	19081	9201
1012	19104	9184
1013	19124	9166
1014	19142	9146
1015	19161	9128
1016	19177	9108
1017	19195	9088
1018	19212	9068
1019	19229	9049
1020	19246	9029
1021	19264	9010
1022	19283	8991
1023	19300	8971
1024	19318	8952
1025	19335	8932
1026	19353	8913
1027	19371	8894
1028	19387	8874
1029	19405	8854
1030	19424	8836
1031	19443	8817
1032	19459	8797
1033	19476	8777
1034	19493	8758
1035	19510	8738
1036	19528	8719
1037	19544	8699
1038	19564	8680
1039	19581	8661
1040	19598	8641
1041	19617	8622
1042	19633	8602
1043	19652	8583
1044	19670	8564
1045	19687	8544
1046	19704	8525
1047	19725	8507
1048	19747	8489
1049	19766	8471
1050	19790	8454
1051	19809	8436
1052	19829	8417
1053	19850	8399
1054	19869	8380
1055	19890	8362
1056	19910	8344
1057	19930	8326
1058	19950	8307
1059	19970	8289
1060	19992	8272
1061	20014	8254
1062	20033	8235
1063	20050	8216
1064	20068	8196
1065	20085	8177
1066	20103	8158
1067	20123	8139
1068	20144	8121
1069	20164	8103
1070	20182	8084
1071	20201	8065
1072	20220	8046
1073	20240	8028
1074	20256	8008
1075	20274	7989
1076	20292	7969
1077	20309	7950
1078	20326	7930
1079	20343	7911
1080	20361	7892
1081	20382	7874
1082	20399	7854
1083	20417	7835
1084	20434	7816
1085	20452	7796
1086	20471	7777
1087	20491	7759
1088	20510	7740
1089	20531	7722
1090	20549	7703
1091	20568	7684
1092	20588	7666
1093	20608	7647
1094	20628	7629
1095	20648	7611
1096	20666	7592
1097	20685	7573
1098	20705	7554
1099	20724	7536
1100	20744	7517
1101	20763	7498
1102	20782	7480
1103	20801	7461
1104	20821	7443
1105	20840	7424
1106	20860	7405
1107	20878	7386
1108	20899	7368
1109	20919	7350
1110	20938	7331
1111	20957	7312
1112	20975	7293
1113	20995	7274
1114	21012	7255
1115	21029	7235
1116	21046	7216
1117	21063	7197
1118	21081	7177
