iter	MultiClass
0	1.068129887
1	1.040407647
2	1.017067359
3	0.9943781701
4	0.9755368482
5	0.9568751794
6	0.940547201
7	0.925019659
8	0.9112002236
9	0.8982668037
10	0.8870320128
11	0.875630057
12	0.8654707403
13	0.8560275616
14	0.8475884831
15	0.8385722569
16	0.8308180076
17	0.8242983885
18	0.8168239498
19	0.8103635661
20	0.8036815475
21	0.7980387642
22	0.7920143111
23	0.7867280153
24	0.7817072937
25	0.7771139139
26	0.7729328863
27	0.7685330175
28	0.7642255967
29	0.7600092726
30	0.7566569757
31	0.7530620005
32	0.7497110226
33	0.7462014469
34	0.7432342484
35	0.7404495919
36	0.7376293164
37	0.7347424537
38	0.732164662
39	0.7297059155
40	0.7272296328
41	0.7249940976
42	0.7221055438
43	0.719298331
44	0.7164175508
45	0.7146551801
46	0.7121796913
47	0.7098464792
48	0.7079321991
49	0.7059400614
50	0.7040303259
51	0.7018853003
52	0.6999580525
53	0.6984169447
54	0.6965849152
55	0.6951675817
56	0.6934728423
57	0.6918166734
58	0.6904722786
59	0.689127941
60	0.68772584
61	0.6866614829
62	0.685356769
63	0.6842290405
64	0.6829243691
65	0.6819329381
66	0.680720996
67	0.6793437286
68	0.6777089345
69	0.6765091318
70	0.6754802589
71	0.6742542413
72	0.6727820855
73	0.6713886879
74	0.6701932375
75	0.6691378864
76	0.6680913158
77	0.6668175679
78	0.6656190993
79	0.6645405743
80	0.6633738348
81	0.6621272741
82	0.6612736609
83	0.6602299135
84	0.6590709226
85	0.65851291
86	0.657295555
87	0.6563964674
88	0.6554145695
89	0.6545803511
90	0.6535964327
91	0.6525689822
92	0.6513771962
93	0.6504157284
94	0.6496556392
95	0.6487778328
96	0.6481163505
97	0.6470472188
98	0.6463675027
99	0.6454669638
100	0.6444841701
101	0.6436585328
102	0.6426089822
103	0.641607913
104	0.640783781
105	0.6400317066
106	0.6392122176
107	0.6382335232
108	0.6372215475
109	0.6364665398
110	0.6351444098
111	0.6343296095
112	0.6337315462
113	0.6326860141
114	0.6319875586
115	0.6312973127
116	0.6305642228
